—ﬁ„ «·Õ”«»ACCOUNT NUMBER;«”„ «·Õ”«»ACCOUNT NAME;«·«”„ «·«Ã‰»ÌACCOUNT FOREIGN NAME;«·Õ”«» «·—∆Ì”ÌACCOUTN PRIMARY ;«·— »…LEVEL ;«·‰Ê⁄ TYPE;‰Ê⁄ «· ﬁ—Ì— TYPE OF REPORT;„œÌ‰ œ«∆‰ CRIDET DEBT; Õ·Ì· «·Õ”«» ANALYSIS
1;«·«’Ê·;;0;1;1;1;1;1
11;«·«’Ê· «·À«» …;;1;2;1;1;1;1
111;«·«—«÷Ì Ê«·„»«‰Ì;;11;3;1;1;1;1
11101;«·«—«÷Ì;;111;4;1;1;1;1
12;«·«’Ê· «·„ œ«Ê·…;;1;2;1;1;1;1
121;«·‰ﬁœÌ… ›Ì «·’‰«œÌﬁ Ê«·»‰Êﬂ;;12;3;1;1;1;1
12101;«·’‰«œÌﬁ;;121;4;1;1;1;1
12101001;’‰œÊﬁ «·«œ«—…;;12101;5;2;1;1;1
12101002;’‰œÊﬁ —ﬁ„ 2;;12101;5;2;1;1;1
12101003;’‰œÊﬁ —ﬁ„ 3;;12101;5;2;1;1;1
12101004;’‰œÊﬁ —ﬁ„ 4;;12101;5;2;1;1;1
12101005;’‰œÊﬁ —ﬁ„ 5;;12101;5;2;1;1;1
12102;«·»‰Êﬂ;;121;4;1;1;1;1
12102001;«·»‰ﬂ —ﬁ„ 1;;12102;5;2;1;1;1
122;«·„Œ“Ê‰;;12;3;1;1;1;1
12201;«·„Œ“Ê‰ «·”·⁄Ì;;122;4;1;1;1;1
12201001;«·„Œ“Ê‰ «·”·⁄Ì;;12201;5;2;1;1;1
123;–„„ «·⁄„·«¡;;12;3;1;1;1;1
12301;–„„ «·⁄„·«¡;;123;4;1;1;1;1
12301001;⁄„·«¡ „Õ·ÌÊ‰;;12301;5;2;1;1;1
12301002;⁄„·«¡ Œ«—ÃÌÊ‰;;12301;5;2;1;1;1
124;«·«⁄ „«œ«  «·„” ‰œÌ…;;12;3;1;1;1;1
12401;«·«⁄ „«œ«  «·„” ‰œÌ…;;124;4;1;1;1;1
125;«Ê—«ﬁ «·ﬁ»÷;;12;3;1;1;1;1
12501;«Ê—«ﬁ «·ﬁ»÷;;125;4;1;1;1;1
12501001;«Ê—«ﬁ «·ﬁ»÷;;12501;5;2;1;1;1
126;–„„ «·„ÊŸ›Ì‰;;12;3;1;1;1;1
12601;–„„ «·„ÊŸ›Ì‰;;126;4;1;1;1;1
127;«·⁄Âœ;;12;3;1;1;1;1
12701;«·⁄Âœ;;127;4;1;1;1;1
128;”·› «·„ÊŸ›Ì‰;;12;3;1;1;1;1
12801;”·› «·„ÊŸ›Ì‰;;128;4;1;1;1;1
12801001;«·„ÊŸ› —ﬁ„ 1;;12801;5;2;1;1;1
129;Ã«—Ì «·›—Ê⁄;;12;3;1;1;1;1
12901;Ã«—Ì «·›—Ê⁄ «·Ê”Ìÿ…;;129;4;1;1;1;1
12901001;Ê”Ìÿ Ã«—Ì «·›—Ê⁄;;12901;5;2;1;1;1
13;«” À„«—«  Ê«’Ê· „«·Ì…;;1;2;1;1;1;1
131;«” À„«—«  «”Â„ Ê‘—ﬂ« ;;13;3;1;1;1;1
14;«—’œ… „œÌ‰… «Œ—Ï;;1;2;1;1;1;1
141;«—’œ… „œÌ‰… «Œ—Ï;;14;3;1;1;1;1
14101;„’«—Ì›  Õ  «· √”Ì”;;141;4;1;1;1;1
2;«·Œ’Ê„;;0;1;1;1;0;1
21;«·Œ’Ê„ «·À«» …;;2;2;1;1;0;1
211;ÕﬁÊﬁ «·„·ﬂÌ…;;21;3;1;1;0;1
21101;—√” «·„«·;;211;4;1;1;0;1
21101001;—√” «·„«·;;21101;5;2;1;0;1
21102;«·«—»«Õ Ê«·Œ”«∆—;;211;4;1;1;0;1
21102001;«·«—»«Õ Ê«·Œ”«∆—;;21102;5;2;1;0;1
212;ﬁ—Ê÷ ÿÊÌ·… «·«Ã·;;21;3;1;1;0;1
21201;ﬁ—Ê÷ ÿÊÌ·… «·«Ã·;;212;4;1;1;0;1
213;Ã«—Ì «·‘‹‹‹‹‹‹—ﬂ«¡;;21;3;1;1;0;1
21301;Ã«—Ì «·‘‹‹‹‹‹‹—ﬂ«¡;;213;4;1;1;0;1
22;«·Œ’Ê„ «·„ œ«Ê·…;;2;2;1;1;0;1
222;«·œ«∆‰Ê‰;;22;3;1;1;0;1
22201;«·„Ê—œÊ‰;;222;4;1;1;0;1
22201001;„Ê—œÊ‰ „Õ·ÌÊ‰;;22201;5;2;1;0;1
22201002;„Ê—œÊ‰ Œ«—ÃÌÊ‰;;22201;5;2;1;0;1
223;«Ê—«ﬁ «·œ›⁄;;22;3;1;1;0;1
22301;«Ê—«ﬁ «·œ›⁄;;223;4;1;1;0;1
22301001;«Ê—«ﬁ «·œ›⁄;;22301;5;2;1;0;1
22301002;»‰Êﬂ œ«∆‰… Ê«Ê—«ﬁ œ›⁄;;22301;5;2;1;0;1
224;«·„Œ’’« ;;22;3;1;1;0;1
22401;«·„Œ’’« ;;224;4;1;1;0;1
22402;„Ã„⁄ «·«Â·«ﬂ« ;;224;4;1;1;0;1
23;«—’œ… œ«∆‰… «Œ—Ï;;2;2;1;1;0;1
231;«—’œ… œ«∆‰… «Œ—Ï;;23;3;1;1;0;1
23101;«—’œ… œ«∆‰… «Œ—Ï;;231;4;1;1;0;1
232;«·„’«—Ì› «·„” Õﬁ…;;23;3;1;1;0;1
23201;„’«—Ì› „” Õﬁ…;;232;4;1;1;0;1
225;«·›Ê«∆œ Ê «·÷—«∆»;;22;3;1;1;0;1
22501;«·÷—«∆»;;225;4;1;1;0;1
22501001;’«›Ì «·ﬁÌ„… «·„÷«›… ··„‘ —Ê« ;;22501;5;2;1;0;1
22501002;’«›Ì «·ﬁÌ„… «·„÷«›… ··„»Ì⁄« ;;22501;5;2;1;0;1
3;«·„’—Ê›« ;;0;1;1;2;1;1
31;„’«—Ì› «·‰‘«ÿ «·Ã«—Ì;;3;2;1;2;1;1
311;„’«—Ì› «·‰‘«ÿ «·Ã«—Ì;;31;3;1;2;1;1
31101; ﬂ·›… «·„»Ì⁄« ;;311;4;1;2;1;1
31101001; ﬂ·›… «·„»Ì⁄« ;;31101;5;2;2;1;1
31102;„—œÊœ «·„»Ì⁄« ;;311;4;1;2;1;1
31102001;„—œÊœ «·„»Ì⁄« ;;31102;5;2;2;1;1
31103;«·Œ’„ «·„”„ÊÕ »Â;;311;4;1;2;1;1
31103001;«·Œ’„ «·„”„ÊÕ »Â;;31103;5;2;2;1;1
31104;„—œÊœ „»Ì⁄«  ”‰Ê«  ”«»ﬁ…;;311;4;1;2;1;1
31104001;„—œÊœ „»Ì⁄«  ”‰Ê«  ”«»ﬁ…;;31104;5;2;2;1;1
31105; ﬂ·›… „—œÊœ „»Ì⁄«  ”‰Ê«  ”«»ﬁ…;;311;4;1;2;1;1
31105001; ﬂ·›… „—œÊœ „»Ì⁄«  ”‰Ê«  ”«»ﬁ…;;31105;5;2;2;1;1
31106; ”ÊÌ… «·„Œ“Ê‰;;311;4;1;2;1;1
31106001; ”ÊÌ… «·„Œ“Ê‰;;31106;5;2;2;1;1
31107;›—Êﬁ «·«⁄ „«œ« ;;311;4;1;2;1;1
31107001;›—Êﬁ «·«⁄ „«œ« ;;31107;5;2;2;1;1
31108;„—œÊœ „‘ —Ì«  «·ﬂ„Ì«  «·„Ã«‰Ì…;;311;4;1;2;1;1
31108001;„—œÊœ „‘ —Ì«  «·ﬂ„Ì«  «·„Ã«‰Ì…;;31108;5;2;2;1;1
32;„’«—Ì› «œ«—Ì… Ê⁄„Ê„Ì…;;3;2;1;2;1;1
321;„’«—Ì› «œ«—Ì…;;32;3;1;2;1;1
32101;„’«—Ì› «œ«—Ì…;;321;4;1;2;1;1
32101001;«·„— »«  Ê«·«ÃÊ—;;32101;5;2;2;1;1
32101002;”›— ÊÃÊ«“« ;;32101;5;2;2;1;1
32101003;„’«—Ì› »œ· «÷«›Ï;;32101;5;2;2;1;1
32101004;„ﬂ«›√  Ê«ﬂ—«„Ì…;;32101;5;2;2;1;1
32101005;„’«—Ì› „ﬂ«›√ ;;32101;5;2;2;1;1
32101006;„’«—Ì› »‰ﬂÌ…;;32101;5;2;2;1;1
32101007;„’«—Ì› ‰À‹‹—Ì…;;32101;5;2;2;1;1
32102;«·«ÌÃ«—« ;;321;4;1;2;1;1
32102001;«·«Ì‹‹‹Ã‹‹‹‹« —« ;;32102;5;2;2;1;1
322;„’«—Ì› ⁄„Ê„Ì…;;32;3;1;2;1;1
32201;„’«—Ì› ⁄„Ê„Ì…;;322;4;1;2;1;1
32201001;„’«—Ì› ’Ì«‰…;;32201;5;2;2;1;1
32201002;„’«—Ì› ﬂÂ—»«¡;;32201;5;2;2;1;1
32201003;„’«—Ì› „Ì«…;;32201;5;2;2;1;1
32201004;„’«—Ì› Â« ›;;32201;5;2;2;1;1
32201005;„’«—Ì› «ÃÊ— ‰ﬁ·;;32201;5;2;2;1;1
32201006;„’«—Ì› «ÃÊ—  ’‰Ì⁄;;32201;5;2;2;1;1
32201007;„’«—Ì› «ÃÊ— ‘Õ‰;;32201;5;2;2;1;1
32201008;„’«—Ì› „Õ—Êﬁ« ;;32201;5;2;2;1;1
32202;„’«—Ì› „ ‰Ê⁄Â «Œ—Ï;;322;4;1;2;1;1
32202001;‰À—Ì« ;;32202;5;2;2;1;1
32202002;’œﬁ… Ê„”«⁄œ« ;;32202;5;2;2;1;1
32203;«Â·«ﬂ«  «·«’Ê· «·À«» …;;322;4;1;2;1;1
32203001;«Â·«ﬂ«  «·«’Ê· «·À«» …;;32203;5;2;2;1;1
323;«·„’—Ê›«  «· ”ÊÌﬁÌ…;;32;3;1;2;1;1
32301;„’—Ê›«  «·»Ì⁄ Ê«· Ê“Ì⁄;;323;4;1;2;1;1
32301001;⁄„Ê·«  Ê ”ÂÌ·«  «·„»Ì⁄« ;;32301;5;2;2;1;1
32301002;⁄„Ê·«  «·„»Ì⁄« ;;32301;5;2;2;1;1
32301003;‰ﬁ· «·„»Ì⁄« ;;32301;5;2;2;1;1
324;«·„’«—Ì› Ê«·«⁄»«¡;;32;3;1;2;1;1
325;„’«—Ì› «·«Â·«ﬂ;;32;3;1;2;1;1
32501;„’«—Ì› «·«Â·«ﬂ;;325;4;1;2;1;1
326;„Ã„⁄ «·«Â·«ﬂ;;32;3;1;2;1;1
32601;„Ã„⁄ «·«Â·«ﬂ;;326;4;1;2;1;1
32601001;„Ã„⁄ «Â·«ﬂ «·”Ì«—« ;;32601;5;2;2;1;1
327;Œ”«∆— —∆”„«·Ì…;;32;3;1;2;1;1
32701;Œ”«∆— —√” „«·Ì…;;327;4;1;2;1;1
32701001;Œ”«∆— —√” „«·Ì…;;32701;5;2;2;1;1
328;«·Õ”«»«  «·Ê”Ìÿ…;;32;3;1;2;;1
32801;«·Õ”«»«  «·Ê”Ìÿ…;;328;4;1;2;1;1
32801001;›Ê«—ﬁ «·⁄„·…;;32801;5;2;2;1;1
32801002;›Ê«—ﬁ «·ﬂ”Ê—;;32801;5;2;2;1;1
4;«·«Ì—«œ« ;;0;1;1;2;0;1
41;«Ì—«œ«  «·‰‘«ÿ «·Ã«—Ì;;4;2;1;2;0;1
411;«Ì—«œ«  «·‰‘«ÿ «·Ã«—Ì;;41;3;1;2;0;1
41101;«Ì—«œ«  «·„»Ì⁄« ;;411;4;1;2;0;1
41101001;«Ì—«œ«  „»Ì⁄«  ;;41101;5;2;2;0;1
41102;«·Œ’„ «·„ﬂ ”»;;411;4;1;2;0;1
41102001;«·Œ’„ «·„ﬂ ”»;;41102;5;2;2;0;1
41103;„—œÊœ «·„‘ —Ì« ;;411;4;1;2;0;1
41103001;„—œÊœ «·„‘ —Ì« ;;41103;5;2;2;0;1
41104;«·ﬂ„Ì«  «·„Ã«‰Ì…;;411;4;1;2;0;1
41104001;«·ﬂ„Ì«  «·„Ã«‰Ì…;;41104;5;2;2;0;1
42;«·«Ì—«œ«  «·«Œ—Ï;;4;2;1;2;0;1
421;«Ì—«œ«  „ ‰Ê⁄Â;;42;3;1;2;0;1
42101;«Ì—«œ«  —√” „«·Ì…;;421;4;1;2;0;1
42101001;«Ì—«œ«  »Ì⁄ «·«’Ê·;;42101;5;2;2;0;1
42102;«Ì—«œ«  «Œ—Ï „ ‰Ê⁄Â;;421;4;1;2;0;1
42102001;«Ì—«œ«  „ ‰Ê⁄Â «Œ—Ï;;42102;5;2;2;0;1
42103;«·„” —œ „‰ «·„Œ’’« ;;421;4;1;2;0;1
